business_id,category,city,price_range,avg_rating,review_count,promo_activity,sales_target
10001,Pet Store,Mansi,2,4.3,4254,1,113717.79
10002,Boutique,Mansi,1,4.1,252,0,45111.41
10003,Hair Salon,Meerut,2,4.7,1484,1,69802.35
10004,Hair Salon,Begusarai,3,4.3,2225,0,79192.8
10005,Pet Store,Meerut,2,3.5,3447,1,100058.78
10006,Auto Repair,Khagaria,1,4.1,1850,0,62631.21
10007,Coffee Shop,Meerut,3,3.4,2699,1,86340.44
10008,Bookstore,Mansi,3,4.2,805,0,50833.12
10009,Auto Repair,Saharsa,3,4.5,3808,0,114092.34
10010,Restaurant,Saharsa,3,4.8,296,1,60237.6
10011,Boutique,Khagaria,3,4.6,2601,0,94075.49
10012,Hair Salon,Khagaria,4,4.2,4499,1,105732.87
10013,Restaurant,Begusarai,1,4.6,1811,1,91062.57
10014,Plumber,Khagaria,1,4.2,467,1,44906.31
10015,Pet Store,Khagaria,2,3.3,496,1,52318.3
10016,Auto Repair,Begusarai,3,4.4,3466,1,97352.05
10017,Bookstore,Saharsa,3,4.2,3478,1,98080.91
10018,Gym,Saharsa,2,4.2,137,0,48351.69
10019,Bakery,Meerut,4,4.2,4997,0,116477.2
10020,Coffee Shop,Saharsa,2,3.4,74,1,43223.12
10021,Bakery,Meerut,1,3.7,1324,0,64315.65
10022,Plumber,Begusarai,3,3.7,15,0,39125.19
10023,Boutique,Begusarai,4,4.3,2001,1,91170.94
10024,Gym,Begusarai,2,4.1,3112,0,97556.78
10025,Hair Salon,Saharsa,4,3.6,2041,0,65219.52
10026,Coffee Shop,Meerut,2,3.3,170,1,39653.97
10027,Coffee Shop,Begusarai,1,4.9,3945,1,103015.79
10028,Plumber,Khagaria,1,4.0,4417,0,121074.47
10029,Boutique,Begusarai,1,3.9,3607,0,92111.35
10030,Boutique,Mansi,4,4.1,1808,1,74693.49
10031,Restaurant,Khagaria,4,3.6,2954,1,67850.41
10032,Bookstore,Mansi,2,4.3,3856,0,108606.97
10033,Restaurant,Begusarai,1,4.1,4384,1,106598.44
10034,Boutique,Meerut,3,4.4,1068,1,80643.98
10035,Coffee Shop,Mansi,3,4.5,2746,0,80905.86
10036,Auto Repair,Meerut,2,4.4,2905,0,102037.31
10037,Hair Salon,Mansi,3,3.9,1356,0,62726.76
10038,Boutique,Meerut,4,4.3,278,0,50277.97
10039,Gym,Mansi,3,3.9,4276,1,107777.94
10040,Boutique,Khagaria,3,4.4,4789,1,137461.42
10041,Auto Repair,Mansi,2,3.9,530,0,46690.23
10042,Bookstore,Begusarai,1,4.1,475,1,55004.17
10043,Plumber,Mansi,4,3.6,4451,0,113769.43
10044,Pet Store,Meerut,2,4.3,2397,1,75511.59
10045,Pet Store,Meerut,1,3.1,2779,1,84993.05
10046,Hair Salon,Saharsa,4,4.0,1115,0,68564.44
10047,Boutique,Meerut,4,3.9,3373,1,90519.19
10048,Bookstore,Meerut,3,3.5,1111,0,68439.02
10049,Auto Repair,Begusarai,4,4.3,4844,0,101761.26
10050,Pet Store,Begusarai,3,3.6,4316,0,119904.32
10051,Coffee Shop,Begusarai,2,4.7,4620,0,125854.17
10052,Hair Salon,Begusarai,4,4.1,2802,0,76664.56
10053,Coffee Shop,Meerut,3,4.6,1182,0,58448.98
10054,Hair Salon,Saharsa,1,4.1,3164,0,108518.49
10055,Coffee Shop,Mansi,2,4.0,3612,0,99329.07
10056,Hair Salon,Khagaria,4,3.8,2143,0,67977.49
10057,Plumber,Begusarai,1,4.5,4223,0,105276.58
10058,Bookstore,Khagaria,4,3.8,1480,1,87139.15
10059,Gym,Meerut,1,4.8,2825,0,96453.61
10060,Boutique,Begusarai,4,4.2,3792,0,103759.83
10061,Bakery,Mansi,4,5.0,94,1,61586.75
10062,Hair Salon,Begusarai,2,4.7,1749,1,72270.22
10063,Auto Repair,Begusarai,1,4.1,4042,1,120488.51
10064,Hair Salon,Meerut,1,3.8,593,0,48597.13
10065,Restaurant,Saharsa,3,3.9,4586,0,100617.98
10066,Hair Salon,Begusarai,4,3.4,4328,0,97767.38
10067,Boutique,Mansi,3,3.4,1688,0,62231.79
10068,Bookstore,Meerut,3,4.7,4418,0,103597.0
10069,Bookstore,Meerut,3,4.1,1736,1,70159.55
10070,Coffee Shop,Begusarai,2,2.9,2092,0,58561.15
10071,Coffee Shop,Saharsa,3,4.0,2194,0,58390.43
10072,Bookstore,Begusarai,1,4.8,4577,1,132280.56
10073,Hair Salon,Begusarai,2,4.4,1594,0,56402.97
10074,Hair Salon,Meerut,2,4.7,1661,0,68149.22
10075,Pet Store,Begusarai,4,4.3,3593,1,117187.41
10076,Boutique,Mansi,1,4.4,276,0,42039.18
10077,Bookstore,Begusarai,4,3.7,3678,1,107807.44
10078,Restaurant,Mansi,1,3.6,1833,1,80784.89
10079,Restaurant,Saharsa,1,4.2,605,0,36924.24
10080,Auto Repair,Mansi,3,4.6,2590,0,80913.57
10081,Bakery,Begusarai,1,4.3,1346,1,64591.84
10082,Boutique,Mansi,3,4.2,1258,0,58408.6
10083,Boutique,Begusarai,4,4.1,4867,1,114814.74
10084,Pet Store,Khagaria,3,3.9,65,1,48205.96
10085,Coffee Shop,Saharsa,3,3.9,611,1,68090.11
10086,Boutique,Saharsa,2,3.8,2003,0,72625.91
10087,Coffee Shop,Saharsa,3,3.4,4772,0,101704.01
10088,Coffee Shop,Saharsa,3,3.6,2751,0,77533.21
10089,Gym,Mansi,2,5.0,4639,0,113709.78
10090,Pet Store,Mansi,4,4.2,93,1,60494.17
10091,Gym,Khagaria,1,4.1,4473,0,112947.62
10092,Auto Repair,Khagaria,2,4.4,3746,1,95762.94
10093,Bookstore,Khagaria,2,3.8,4838,1,121009.59
10094,Auto Repair,Khagaria,3,4.4,29,0,43250.11
10095,Boutique,Begusarai,4,4.1,809,1,47588.46
10096,Plumber,Mansi,1,4.4,16,0,51369.94
10097,Restaurant,Begusarai,1,4.4,515,1,65821.12
10098,Hair Salon,Meerut,4,3.9,4712,1,122446.88
10099,Gym,Saharsa,3,4.4,4393,0,102078.28
10100,Plumber,Begusarai,1,4.4,2964,1,95963.84
10101,Pet Store,Khagaria,1,4.5,3608,0,102984.89
10102,Auto Repair,Meerut,3,4.4,2799,0,82740.35
10103,Hair Salon,Saharsa,2,3.6,3244,0,92717.24
10104,Bookstore,Saharsa,1,3.8,3402,1,125631.98
10105,Auto Repair,Saharsa,4,3.1,2265,1,84853.64
10106,Boutique,Saharsa,2,4.5,3801,0,91739.11
10107,Auto Repair,Saharsa,2,4.6,4019,0,92285.53
10108,Coffee Shop,Mansi,2,3.6,1063,0,51100.0
10109,Plumber,Saharsa,1,3.9,2885,0,76438.11
10110,Bookstore,Khagaria,3,3.6,2400,0,65745.2
10111,Pet Store,Begusarai,3,3.7,363,0,58306.77
10112,Bakery,Saharsa,4,3.9,3333,0,88270.04
10113,Restaurant,Begusarai,3,3.9,547,1,50339.88
10114,Pet Store,Mansi,4,4.7,3676,0,115625.18
10115,Bookstore,Begusarai,4,4.5,4203,1,129256.24
10116,Boutique,Begusarai,4,4.5,2115,0,57282.45
10117,Coffee Shop,Meerut,1,4.5,3835,0,90367.02
10118,Bakery,Saharsa,4,4.5,3899,0,96219.46
10119,Coffee Shop,Begusarai,1,4.4,1673,1,93473.52
10120,Pet Store,Meerut,1,3.2,724,1,30960.18
10121,Hair Salon,Meerut,4,4.1,4907,1,96595.26
10122,Restaurant,Khagaria,1,4.6,2410,0,89213.85
10123,Coffee Shop,Begusarai,4,4.1,3051,0,65522.49
10124,Gym,Meerut,3,4.1,2615,1,93841.24
10125,Pet Store,Saharsa,4,3.4,4373,0,88672.47
10126,Boutique,Meerut,1,4.0,335,0,47256.87
10127,Gym,Meerut,2,4.0,1448,1,64551.92
10128,Plumber,Mansi,3,3.7,3822,0,105197.37
10129,Plumber,Khagaria,3,3.9,2618,0,89220.07
10130,Boutique,Saharsa,2,4.9,3228,0,95589.38
10131,Gym,Begusarai,2,4.8,4860,0,115386.25
10132,Pet Store,Begusarai,1,3.8,75,1,43159.61
10133,Pet Store,Mansi,4,3.6,4677,0,97385.39
10134,Auto Repair,Meerut,2,4.6,956,0,65634.26
10135,Plumber,Saharsa,3,3.7,3296,0,85458.71
10136,Bakery,Meerut,1,4.0,3712,1,109044.04
10137,Auto Repair,Begusarai,2,4.9,2820,0,95714.44
10138,Hair Salon,Saharsa,2,3.9,4341,1,105558.46
10139,Restaurant,Meerut,2,4.9,4476,1,124424.29
10140,Gym,Begusarai,3,4.8,4741,1,139187.82
10141,Coffee Shop,Mansi,4,4.8,702,0,65465.99
10142,Gym,Khagaria,4,3.8,3658,0,99931.82
10143,Bakery,Mansi,2,4.0,1417,0,54327.41
10144,Plumber,Khagaria,1,3.7,4021,1,94951.08
10145,Restaurant,Meerut,1,3.9,1455,1,80297.95
10146,Coffee Shop,Mansi,3,4.4,1067,0,48770.27
10147,Restaurant,Meerut,4,4.6,4396,0,120671.08
10148,Bakery,Saharsa,4,4.0,1314,0,65320.77
10149,Auto Repair,Saharsa,1,4.1,4914,0,124027.21
10150,Bookstore,Khagaria,4,3.8,3827,0,105263.01
10151,Bakery,Mansi,4,4.8,2174,0,70586.78
10152,Bookstore,Mansi,3,4.0,3728,0,86415.65
10153,Restaurant,Khagaria,2,4.3,1258,0,57687.69
10154,Pet Store,Begusarai,4,4.1,3349,0,96145.65
10155,Auto Repair,Begusarai,3,3.5,3399,1,84069.34
10156,Coffee Shop,Saharsa,3,4.2,1289,0,69590.78
10157,Gym,Meerut,3,4.1,445,1,42973.94
10158,Pet Store,Khagaria,1,3.5,3995,0,100603.72
10159,Plumber,Mansi,1,3.1,1200,1,51309.69
10160,Hair Salon,Meerut,4,4.6,1385,1,75059.41
10161,Bakery,Khagaria,1,4.2,1750,0,62354.11
10162,Restaurant,Mansi,3,3.6,1320,1,77356.08
10163,Bookstore,Begusarai,2,4.0,3175,1,82380.29
10164,Coffee Shop,Mansi,4,3.2,3068,0,79147.47
10165,Boutique,Saharsa,1,4.3,2027,0,73038.33
10166,Pet Store,Begusarai,2,5.0,4775,1,122233.74
10167,Boutique,Mansi,1,3.5,1994,0,78020.25
10168,Hair Salon,Mansi,3,4.3,1725,1,78839.77
10169,Auto Repair,Saharsa,1,4.7,4386,1,108865.59
10170,Bakery,Begusarai,1,3.4,4537,0,86517.32
10171,Auto Repair,Khagaria,1,3.9,4465,1,110834.67
10172,Plumber,Meerut,3,3.9,252,1,38114.66
10173,Auto Repair,Khagaria,2,4.2,2973,0,85260.88
10174,Coffee Shop,Meerut,4,4.0,267,0,20804.8
10175,Plumber,Begusarai,4,4.5,1393,1,60247.69
10176,Coffee Shop,Begusarai,3,3.7,1438,1,51659.2
10177,Bookstore,Khagaria,4,4.0,2893,0,74905.3
10178,Restaurant,Begusarai,3,4.7,2867,1,93131.0
10179,Gym,Khagaria,3,4.0,1367,0,61291.49
10180,Hair Salon,Saharsa,4,4.7,4430,1,132664.97
10181,Auto Repair,Khagaria,4,4.9,2375,0,85351.1
10182,Bakery,Meerut,4,4.1,4898,0,98414.81
10183,Pet Store,Meerut,3,3.9,4876,0,112766.33
10184,Bakery,Meerut,4,3.9,431,0,39262.05
10185,Boutique,Saharsa,3,4.7,4059,1,138575.49
10186,Restaurant,Begusarai,1,4.3,3862,0,88625.91
10187,Bookstore,Saharsa,4,4.1,1599,1,75339.34
10188,Plumber,Khagaria,4,3.2,2374,1,85947.37
10189,Hair Salon,Khagaria,1,5.0,3746,0,102624.3
10190,Auto Repair,Khagaria,4,3.3,288,1,40956.23
10191,Restaurant,Mansi,4,4.2,1711,0,49496.18
10192,Auto Repair,Mansi,3,3.5,941,0,31553.55
10193,Plumber,Meerut,1,4.3,3544,1,115172.22
10194,Boutique,Begusarai,3,3.7,1897,1,67562.42
10195,Bakery,Begusarai,4,4.7,3600,1,92245.74
10196,Plumber,Mansi,1,3.8,4015,0,80035.46
10197,Bookstore,Meerut,3,5.0,1622,1,69370.55
10198,Bookstore,Mansi,1,4.1,4991,0,111736.25
10199,Bakery,Begusarai,2,4.3,2387,1,74429.17
10200,Hair Salon,Khagaria,2,4.2,4409,1,84599.94
10201,Coffee Shop,Begusarai,2,3.9,636,1,57002.34
10202,Boutique,Khagaria,2,4.4,1836,1,73252.16
10203,Auto Repair,Meerut,4,4.0,1560,1,49186.71
10204,Restaurant,Begusarai,2,4.4,3100,1,103974.41
10205,Pet Store,Mansi,4,4.3,3449,0,90923.79
10206,Bakery,Mansi,1,3.4,1394,0,43484.39
10207,Restaurant,Khagaria,3,3.5,4352,0,102620.64
10208,Pet Store,Khagaria,3,4.0,3598,0,94365.11
10209,Gym,Begusarai,2,3.8,2894,0,89779.54
10210,Plumber,Saharsa,3,5.0,2504,0,112916.8
10211,Auto Repair,Meerut,2,4.4,3164,0,99897.11
10212,Plumber,Begusarai,3,5.0,2925,0,76275.13
10213,Hair Salon,Saharsa,3,4.3,1411,0,66277.92
10214,Bookstore,Saharsa,3,4.4,2312,0,85324.26
10215,Boutique,Mansi,1,4.4,4364,0,99014.23
10216,Plumber,Khagaria,4,3.8,3613,0,81922.73
10217,Gym,Begusarai,1,4.0,3517,0,90102.5
10218,Restaurant,Saharsa,1,3.9,3144,1,101919.52
10219,Gym,Mansi,3,4.6,4590,0,103768.17
10220,Pet Store,Mansi,2,4.0,4933,1,119923.07
10221,Boutique,Meerut,4,4.5,445,0,53247.76
10222,Boutique,Meerut,2,4.4,1240,0,59520.39
10223,Restaurant,Meerut,1,4.8,3684,0,118795.58
10224,Bookstore,Mansi,3,5.0,284,0,41030.84
10225,Bakery,Begusarai,4,3.7,4144,0,100622.09
10226,Coffee Shop,Begusarai,1,4.9,3502,0,89285.83
10227,Bakery,Saharsa,4,4.6,2522,0,84907.39
10228,Plumber,Mansi,4,4.1,788,1,58570.7
10229,Gym,Meerut,3,4.2,868,0,51380.22
10230,Hair Salon,Saharsa,3,3.8,3192,0,93282.56
10231,Auto Repair,Khagaria,4,4.1,1208,1,74663.67
10232,Auto Repair,Saharsa,2,3.9,2551,0,90405.18
10233,Boutique,Begusarai,1,4.3,3229,0,85517.03
10234,Pet Store,Mansi,2,3.5,1208,1,61709.0
10235,Gym,Saharsa,4,4.1,480,0,47103.98
10236,Gym,Meerut,4,4.0,2185,0,76886.35
10237,Gym,Saharsa,1,4.5,3758,0,94509.08
10238,Pet Store,Meerut,2,5.0,534,1,59632.12
10239,Bakery,Khagaria,4,3.3,757,0,46471.77
10240,Bakery,Saharsa,1,3.8,3589,0,86894.7
10241,Restaurant,Khagaria,4,4.8,511,1,41449.34
10242,Auto Repair,Khagaria,2,4.6,1734,1,63944.98
10243,Hair Salon,Meerut,2,3.5,1322,1,56289.23
10244,Gym,Begusarai,3,4.0,2524,1,94455.26
10245,Boutique,Khagaria,4,4.4,2734,0,95015.31
10246,Boutique,Khagaria,1,4.3,2024,0,82110.23
10247,Bakery,Meerut,4,4.2,2175,1,86284.67
10248,Bakery,Mansi,4,3.4,3573,1,91400.99
10249,Bookstore,Begusarai,2,4.1,3750,1,111078.68
10250,Hair Salon,Khagaria,4,4.1,3725,0,88170.78
10251,Pet Store,Khagaria,2,4.3,3643,1,109146.09
10252,Plumber,Meerut,3,4.5,4491,1,130486.05
10253,Gym,Begusarai,2,4.4,2483,0,88609.05
10254,Bakery,Mansi,1,5.0,3375,0,83647.06
10255,Pet Store,Saharsa,4,3.8,3888,0,71254.0
10256,Boutique,Meerut,4,3.7,2734,0,84034.38
10257,Restaurant,Khagaria,4,3.1,387,0,44569.78
10258,Bakery,Khagaria,1,4.4,4197,1,121294.62
10259,Plumber,Saharsa,4,3.8,1261,0,58042.03
10260,Auto Repair,Mansi,3,4.1,719,0,47662.69
10261,Gym,Khagaria,1,4.4,1514,0,70211.78
10262,Bakery,Saharsa,4,3.3,2118,1,78538.12
10263,Hair Salon,Khagaria,1,5.0,3261,0,104328.83
10264,Restaurant,Begusarai,2,4.8,296,1,67036.5
10265,Gym,Begusarai,2,4.1,2426,1,94124.97
10266,Boutique,Begusarai,3,4.4,223,0,54734.39
10267,Boutique,Khagaria,1,3.9,754,1,56629.94
10268,Bakery,Khagaria,3,4.3,226,0,52852.42
10269,Pet Store,Meerut,2,4.0,132,0,42919.85
10270,Bakery,Khagaria,2,4.0,3607,1,112832.71
10271,Restaurant,Meerut,2,4.0,1277,1,67843.58
10272,Gym,Meerut,4,2.7,223,1,66726.84
10273,Auto Repair,Meerut,4,3.9,571,0,40879.5
10274,Bakery,Saharsa,2,3.7,2230,1,77252.9
10275,Gym,Khagaria,3,3.2,4136,1,102591.17
10276,Pet Store,Begusarai,3,3.6,2902,1,96268.9
10277,Bookstore,Mansi,3,4.0,2971,0,90294.82
10278,Gym,Mansi,2,3.6,2798,1,92290.5
10279,Restaurant,Mansi,4,3.9,2661,1,59470.72
10280,Bakery,Mansi,4,3.5,4519,1,100924.76
10281,Auto Repair,Mansi,4,3.9,3067,0,99437.34
10282,Boutique,Saharsa,3,4.3,497,1,57172.41
10283,Plumber,Meerut,1,4.1,2606,0,78359.16
10284,Coffee Shop,Saharsa,1,4.0,4924,0,110447.76
10285,Plumber,Saharsa,1,3.7,764,0,31765.81
10286,Coffee Shop,Khagaria,3,4.0,1192,1,59483.14
10287,Boutique,Khagaria,4,4.2,3020,1,88180.2
10288,Plumber,Khagaria,2,3.7,1007,1,33618.46
10289,Auto Repair,Begusarai,2,4.5,3862,0,103674.84
10290,Boutique,Meerut,3,3.4,316,0,22861.06
10291,Pet Store,Begusarai,4,4.0,4049,0,115234.29
10292,Bookstore,Meerut,4,4.5,64,1,32876.74
10293,Pet Store,Khagaria,3,4.3,525,1,73630.07
10294,Bakery,Begusarai,3,4.1,4258,1,108137.07
10295,Bakery,Begusarai,3,4.1,3633,1,100115.48
10296,Auto Repair,Saharsa,1,4.5,533,0,58887.36
10297,Boutique,Mansi,2,4.1,4479,0,105765.67
10298,Auto Repair,Mansi,2,4.5,1578,0,69174.27
10299,Plumber,Meerut,2,3.3,3947,0,92371.3
10300,Pet Store,Khagaria,2,4.3,1051,0,52629.26
10301,Coffee Shop,Khagaria,2,3.7,2163,0,62760.85
10302,Bookstore,Begusarai,2,4.0,708,0,65290.58
10303,Hair Salon,Meerut,2,4.6,3063,0,89563.56
10304,Bookstore,Khagaria,4,3.6,4708,0,89552.59
10305,Hair Salon,Khagaria,1,4.3,2159,0,69954.27
10306,Bookstore,Begusarai,2,3.6,460,0,40698.0
10307,Bakery,Meerut,3,2.8,3724,0,81856.33
10308,Bakery,Saharsa,4,4.3,1971,0,67694.16
10309,Pet Store,Begusarai,3,3.9,1634,0,64528.61
10310,Boutique,Saharsa,3,4.7,171,0,68511.09
10311,Bakery,Saharsa,4,3.8,2052,0,69697.52
10312,Coffee Shop,Meerut,2,5.0,2442,0,77540.72
10313,Plumber,Mansi,2,4.7,3651,0,106382.01
10314,Plumber,Khagaria,2,4.7,3571,0,101123.04
10315,Boutique,Saharsa,3,3.3,4117,0,94696.64
10316,Plumber,Mansi,4,4.0,1847,0,67876.92
10317,Auto Repair,Meerut,1,4.0,4316,0,114772.95
10318,Coffee Shop,Saharsa,3,3.2,3801,1,97707.76
10319,Gym,Begusarai,2,4.4,2873,1,78230.27
10320,Boutique,Meerut,4,3.5,4726,1,99593.6
10321,Auto Repair,Khagaria,2,3.9,99,1,42657.91
10322,Plumber,Meerut,1,4.3,2965,1,92425.2
10323,Pet Store,Saharsa,3,3.8,1862,1,70410.76
10324,Boutique,Meerut,4,5.0,1001,1,71052.62
10325,Boutique,Meerut,4,4.3,3064,0,83539.92
10326,Plumber,Begusarai,3,4.6,1115,1,79206.81
10327,Coffee Shop,Saharsa,4,3.9,554,0,37735.15
10328,Auto Repair,Khagaria,1,3.9,3803,0,91799.72
10329,Bakery,Begusarai,2,3.8,1989,1,94854.07
10330,Boutique,Saharsa,4,4.0,2597,1,80991.84
10331,Auto Repair,Mansi,1,4.1,2971,0,86954.76
10332,Boutique,Mansi,3,4.2,741,0,63330.3
10333,Pet Store,Meerut,2,3.7,4212,0,91850.2
10334,Hair Salon,Meerut,2,4.0,2806,1,88540.84
10335,Auto Repair,Saharsa,2,4.5,635,0,54266.97
10336,Coffee Shop,Mansi,2,4.1,3453,0,85271.03
10337,Boutique,Meerut,2,3.9,2194,0,67248.54
10338,Restaurant,Begusarai,2,4.1,2114,0,73173.66
10339,Boutique,Khagaria,1,3.8,51,0,34133.6
10340,Gym,Saharsa,3,5.0,2824,1,82093.14
10341,Pet Store,Mansi,3,4.5,527,1,64854.74
10342,Bakery,Khagaria,1,3.5,4935,1,114976.33
10343,Bakery,Khagaria,3,4.7,2161,0,69773.15
10344,Pet Store,Khagaria,4,3.9,805,1,66939.5
10345,Coffee Shop,Khagaria,1,4.5,4296,0,115988.04
10346,Hair Salon,Khagaria,1,4.7,1715,1,77762.22
10347,Auto Repair,Mansi,3,4.3,1523,0,52922.4
10348,Bookstore,Meerut,1,3.7,588,1,58252.5
10349,Gym,Saharsa,2,3.5,4580,1,105140.8
10350,Auto Repair,Mansi,3,3.5,3093,1,88176.09
10351,Auto Repair,Saharsa,1,3.5,2406,1,79022.0
10352,Auto Repair,Begusarai,1,4.7,4891,1,126515.66
10353,Hair Salon,Khagaria,4,3.4,2718,0,71143.73
10354,Plumber,Meerut,3,3.8,4751,0,117212.4
10355,Plumber,Mansi,4,4.3,346,0,44269.28
10356,Pet Store,Mansi,1,4.5,1102,1,79568.45
10357,Plumber,Mansi,1,3.6,1633,0,75095.24
10358,Pet Store,Khagaria,3,4.0,3156,0,103355.77
10359,Bakery,Khagaria,3,4.3,4537,1,129361.15
10360,Boutique,Saharsa,3,4.3,4891,1,131321.74
10361,Pet Store,Khagaria,3,3.6,3307,0,65997.76
10362,Restaurant,Khagaria,2,5.0,1416,0,71588.68
10363,Restaurant,Saharsa,1,4.6,103,1,51836.38
10364,Gym,Begusarai,4,3.4,2478,1,70438.98
10365,Coffee Shop,Begusarai,3,3.9,3836,1,104489.56
10366,Gym,Mansi,1,3.5,1666,0,59582.84
10367,Bookstore,Mansi,1,4.2,2092,1,63199.19
10368,Gym,Saharsa,2,3.6,917,0,49548.52
10369,Hair Salon,Mansi,2,4.0,242,0,49905.04
10370,Coffee Shop,Begusarai,2,4.2,3829,0,67424.05
10371,Bookstore,Saharsa,3,3.6,3756,0,93182.5
10372,Coffee Shop,Meerut,2,3.9,1420,1,71883.36
10373,Plumber,Begusarai,1,4.2,4741,1,124739.29
10374,Restaurant,Mansi,2,3.6,3291,0,101228.34
10375,Auto Repair,Mansi,1,3.8,3004,0,90505.65
10376,Coffee Shop,Mansi,2,3.6,4152,1,114140.42
10377,Gym,Begusarai,2,3.7,3769,1,90875.54
10378,Boutique,Begusarai,3,3.9,2869,0,81774.65
10379,Hair Salon,Saharsa,2,3.7,528,0,49562.71
10380,Gym,Khagaria,3,3.5,372,0,57260.59
10381,Plumber,Meerut,4,3.9,2161,0,67128.86
10382,Bookstore,Saharsa,2,3.7,4297,1,115593.09
10383,Boutique,Mansi,2,4.4,4879,1,124456.4
10384,Plumber,Mansi,3,4.4,4683,1,116500.38
10385,Restaurant,Meerut,3,4.3,679,0,48714.4
10386,Bakery,Saharsa,3,3.7,2378,0,76727.58
10387,Coffee Shop,Khagaria,1,3.8,1434,0,69006.01
10388,Plumber,Meerut,3,4.1,1805,0,70531.39
10389,Bakery,Mansi,4,3.9,2910,0,72668.01
10390,Gym,Mansi,3,4.1,2305,0,73610.86
10391,Boutique,Begusarai,3,4.3,3085,0,99587.43
10392,Bookstore,Meerut,1,5.0,4671,1,122029.55
10393,Hair Salon,Khagaria,3,3.8,3069,1,93807.96
10394,Pet Store,Meerut,2,4.0,4271,1,94691.66
10395,Restaurant,Khagaria,1,5.0,1066,0,73632.08
10396,Restaurant,Khagaria,2,3.9,4182,1,105685.34
10397,Plumber,Begusarai,4,4.0,4533,0,105615.94
10398,Plumber,Khagaria,4,3.7,3439,1,79258.54
10399,Coffee Shop,Khagaria,1,5.0,1738,1,89577.2
10400,Plumber,Meerut,3,3.8,676,1,52682.37
10401,Pet Store,Mansi,4,3.9,3605,0,100932.95
10402,Bookstore,Khagaria,1,4.5,3801,0,98223.04
10403,Bookstore,Khagaria,2,4.2,1974,1,57732.79
10404,Bookstore,Begusarai,1,4.2,4300,0,111318.24
