user_id,age,income_bracket,pref_category_1,avg_spend_3mo,visit_frequency,segment_target
50001,43,Low,Bakery,71.63,Weekly,Medium Value
50002,51,Medium,Boutique,49.33,Weekly,Medium Value
50003,38,Low,Plumber,55.96,Weekly,Medium Value
50004,48,High,Bakery,5.0,Monthly,Low Value
50005,50,Low,Hair Salon,36.03,Monthly,Medium Value
50006,47,Low,Auto Repair,67.16,Rarely,Low Value
50007,29,Medium,Bakery,38.19,Weekly,Medium Value
50008,26,Low,Boutique,87.66,Daily,High Value
50009,25,Medium,Bakery,36.01,Daily,Low Value
50010,47,Low,Boutique,75.02,Weekly,Medium Value
50011,26,Medium,Bakery,34.94,Daily,Low Value
50012,37,High,Coffee Shop,7.07,Monthly,Low Value
50013,38,Medium,Plumber,39.37,Monthly,Medium Value
50014,22,Low,Hair Salon,43.33,Rarely,Low Value
50015,31,Medium,Bakery,39.77,Weekly,Medium Value
50016,32,Medium,Pet Store,43.41,Weekly,Medium Value
50017,19,High,Coffee Shop,17.46,Weekly,Low Value
50018,27,Medium,Bakery,93.83,Weekly,High Value
50019,21,Low,Coffee Shop,60.31,Daily,Low Value
50020,28,Medium,Boutique,52.38,Rarely,Low Value
50021,27,Low,Restaurant,5.0,Monthly,Low Value
50022,50,Medium,Gym,77.78,Monthly,Medium Value
50023,37,Low,Coffee Shop,59.08,Weekly,Medium Value
50024,68,High,Restaurant,52.85,Weekly,Medium Value
50025,61,High,Coffee Shop,37.38,Weekly,Medium Value
50026,18,Medium,Bakery,62.09,Weekly,Medium Value
50027,62,High,Coffee Shop,17.5,Weekly,Low Value
50028,18,Medium,Coffee Shop,28.57,Daily,Low Value
50029,65,Medium,Bookstore,71.2,Daily,Low Value
50030,63,High,Auto Repair,5.0,Rarely,Low Value
50031,20,Medium,Plumber,141.57,Monthly,Medium Value
50032,60,High,Hair Salon,5.0,Monthly,Low Value
50033,38,Low,Gym,17.61,Daily,Low Value
50034,26,High,Pet Store,21.36,Daily,Low Value
50035,34,Medium,Plumber,5.0,Daily,Low Value
50036,27,High,Restaurant,5.0,Daily,Low Value
50037,38,Low,Gym,24.8,Monthly,Low Value
50038,44,Medium,Gym,50.59,Weekly,Medium Value
50039,36,Medium,Restaurant,61.83,Weekly,Medium Value
50040,51,Low,Coffee Shop,53.0,Monthly,Medium Value
50041,51,Medium,Bookstore,57.47,Daily,Low Value
50042,58,Medium,Plumber,67.1,Weekly,Medium Value
50043,24,High,Coffee Shop,75.41,Daily,Low Value
50044,36,Medium,Pet Store,16.66,Monthly,Low Value
50045,36,Low,Boutique,36.65,Rarely,Low Value
50046,69,Low,Restaurant,43.75,Daily,Low Value
50047,37,High,Plumber,49.85,Rarely,Low Value
50048,68,High,Auto Repair,58.37,Weekly,Medium Value
50049,35,Low,Bookstore,57.69,Monthly,Medium Value
50050,54,Low,Coffee Shop,5.0,Daily,Low Value
50051,66,Medium,Coffee Shop,59.97,Rarely,Low Value
50052,56,Low,Hair Salon,69.99,Monthly,Medium Value
50053,48,Medium,Bakery,37.47,Weekly,Medium Value
50054,68,Low,Hair Salon,40.04,Weekly,Medium Value
50055,18,Medium,Restaurant,41.87,Rarely,Low Value
50056,60,High,Hair Salon,29.22,Daily,Low Value
50057,67,Low,Plumber,49.72,Weekly,Medium Value
50058,21,Medium,Coffee Shop,81.25,Monthly,Medium Value
50059,57,Medium,Plumber,22.62,Monthly,Low Value
50060,69,Medium,Gym,55.29,Weekly,Medium Value
50061,21,High,Pet Store,75.25,Rarely,Low Value
50062,33,Medium,Plumber,53.75,Rarely,Low Value
50063,59,Medium,Bakery,5.0,Monthly,Low Value
50064,41,High,Pet Store,27.9,Rarely,Low Value
50065,32,Medium,Auto Repair,37.32,Monthly,Medium Value
50066,65,Low,Boutique,48.8,Rarely,Low Value
50067,69,High,Plumber,12.52,Weekly,Low Value
50068,33,Medium,Hair Salon,19.61,Monthly,Low Value
50069,38,Medium,Restaurant,45.41,Rarely,Low Value
50070,22,High,Coffee Shop,57.48,Weekly,Medium Value
50071,25,Medium,Bookstore,21.44,Weekly,Low Value
50072,57,Low,Gym,5.0,Daily,Low Value
50073,66,Medium,Hair Salon,57.47,Monthly,Medium Value
50074,55,Medium,Coffee Shop,93.51,Weekly,High Value
50075,57,Low,Restaurant,18.21,Weekly,Low Value
50076,64,High,Gym,5.0,Monthly,Low Value
50077,25,Low,Gym,5.0,Monthly,Low Value
50078,48,Low,Bakery,52.02,Weekly,Medium Value
50079,34,Low,Boutique,5.0,Rarely,Low Value
50080,38,Low,Pet Store,16.66,Rarely,Low Value
50081,22,Medium,Restaurant,79.53,Rarely,Low Value
50082,52,Low,Restaurant,50.51,Weekly,Medium Value
50083,42,Medium,Gym,45.19,Rarely,Low Value
50084,38,Low,Coffee Shop,54.07,Daily,Low Value
50085,37,Medium,Hair Salon,12.18,Monthly,Low Value
50086,65,Medium,Coffee Shop,60.17,Weekly,Medium Value
50087,33,Low,Plumber,5.18,Rarely,Low Value
50088,47,Medium,Coffee Shop,73.86,Monthly,Medium Value
50089,41,Medium,Coffee Shop,28.33,Monthly,Low Value
50090,50,Medium,Boutique,59.79,Rarely,Low Value
50091,64,Low,Bookstore,5.0,Daily,Low Value
50092,61,Medium,Auto Repair,10.84,Weekly,Low Value
50093,41,Medium,Coffee Shop,42.12,Rarely,Low Value
50094,63,High,Gym,12.27,Monthly,Low Value
50095,18,Medium,Auto Repair,69.15,Rarely,Low Value
50096,56,Low,Auto Repair,49.17,Rarely,Low Value
50097,45,Low,Auto Repair,5.0,Daily,Low Value
50098,41,Medium,Hair Salon,5.0,Weekly,Low Value
50099,51,High,Boutique,17.3,Rarely,Low Value
50100,31,Low,Pet Store,90.36,Monthly,Medium Value
50101,67,Medium,Restaurant,33.18,Rarely,Low Value
50102,48,Medium,Plumber,44.83,Rarely,Low Value
50103,48,Medium,Auto Repair,70.12,Rarely,Low Value
50104,67,Medium,Gym,28.62,Rarely,Low Value
50105,37,Low,Gym,66.25,Rarely,Low Value
50106,23,High,Pet Store,28.33,Monthly,Low Value
50107,68,Low,Boutique,5.0,Rarely,Low Value
50108,38,High,Plumber,37.41,Weekly,Medium Value
50109,34,Low,Pet Store,12.95,Weekly,Low Value
50110,45,Medium,Auto Repair,45.64,Weekly,Medium Value
50111,32,Medium,Bakery,5.0,Weekly,Low Value
50112,57,High,Auto Repair,72.49,Monthly,Medium Value
50113,28,Low,Auto Repair,45.88,Daily,Low Value
50114,58,Low,Bakery,9.47,Monthly,Low Value
50115,21,Low,Coffee Shop,35.31,Monthly,Medium Value
50116,38,High,Auto Repair,72.9,Rarely,Low Value
50117,50,High,Boutique,30.83,Weekly,Medium Value
50118,40,Medium,Plumber,14.41,Monthly,Low Value
50119,66,Low,Pet Store,68.8,Rarely,Low Value
50120,18,Medium,Coffee Shop,18.84,Weekly,Low Value
50121,22,Low,Bakery,34.23,Monthly,Medium Value
50122,47,Medium,Pet Store,34.34,Weekly,Medium Value
50123,24,Medium,Bookstore,41.29,Weekly,Medium Value
50124,20,Low,Hair Salon,11.28,Monthly,Low Value
50125,21,Medium,Plumber,10.43,Daily,Low Value
50126,61,Low,Gym,53.16,Weekly,Medium Value
50127,59,Low,Plumber,32.16,Daily,Low Value
50128,39,High,Plumber,74.32,Weekly,Medium Value
50129,51,Low,Hair Salon,30.43,Weekly,Medium Value
50130,30,Medium,Pet Store,58.96,Daily,Low Value
50131,67,Medium,Restaurant,71.63,Weekly,Medium Value
50132,42,Low,Hair Salon,25.41,Monthly,Low Value
50133,46,Low,Coffee Shop,37.66,Monthly,Medium Value
50134,52,High,Boutique,58.37,Daily,Low Value
50135,59,High,Pet Store,69.72,Rarely,Low Value
50136,55,High,Gym,5.0,Monthly,Low Value
50137,47,High,Bookstore,79.63,Monthly,Medium Value
50138,69,High,Bakery,6.93,Weekly,Low Value
50139,60,Low,Restaurant,74.36,Daily,Low Value
50140,36,Low,Pet Store,19.02,Weekly,Low Value
50141,30,Low,Bookstore,5.0,Weekly,Low Value
50142,31,Medium,Boutique,62.48,Daily,Low Value
