interaction_id,user_id,business_id,timestamp,distance_km,interaction_type,time_spent_sec,conversion_target
900001,57190,10101,2024-06-23 11:27:29,1.0,view,302,0
900002,50102,13740,2024-09-27 13:48:39,11.1,view,25,0
900003,50395,19103,2024-11-23 07:23:05,1.7,click,115,1
900004,58743,14983,2024-08-17 02:04:55,0.1,purchase,488,1
900005,52584,16721,2024-07-01 06:03:00,5.8,view,162,0
900006,58957,13013,2024-02-15 10:12:52,7.5,purchase,243,1
900007,56306,16242,2024-06-30 05:49:04,13.5,purchase,286,1
900008,55183,11302,2024-11-30 11:45:45,0.1,click,388,0
900009,53578,16985,2024-07-03 20:46:00,9.9,click,439,0
900010,56760,13948,2024-12-09 03:12:49,5.3,visit,48,1
900011,53729,19093,2024-03-24 16:14:34,0.1,view,419,0
900012,59332,11903,2024-01-28 14:11:46,0.1,visit,41,1
900013,56501,19828,2024-03-03 12:47:51,5.7,view,164,0
900014,58307,19479,2024-02-06 02:30:43,7.8,click,278,0
900015,55872,14883,2024-02-16 17:15:40,8.4,view,363,0
900016,54955,19318,2024-05-20 20:12:30,3.7,view,507,0
900017,54852,18523,2024-08-29 23:00:27,3.0,click,397,0
900018,57407,18467,2024-02-14 15:09:14,15.9,review,166,0
900019,51783,10589,2024-08-24 23:55:45,1.1,view,76,1
900020,53040,14965,2024-08-31 04:27:13,6.2,visit,150,1
900021,53611,10689,2024-06-03 17:52:01,7.0,view,75,0
900022,52728,18481,2024-08-31 00:32:03,7.5,purchase,338,1
900023,53574,11308,2024-12-04 12:23:59,10.3,visit,486,1
900024,59643,19935,2024-01-16 07:47:34,0.1,click,183,0
900025,56450,13298,2024-10-01 02:09:41,4.0,purchase,188,1
900026,50700,16972,2024-10-24 21:51:03,0.1,view,214,0
900027,58777,16761,2024-12-14 01:40:09,8.0,click,75,0
900028,56507,15217,2024-04-20 03:00:57,7.0,review,542,0
900029,56363,18090,2024-04-09 20:15:26,10.2,click,351,0
900030,54507,19783,2024-10-11 05:55:10,14.7,click,450,0
900031,56500,10854,2024-03-06 20:44:11,5.2,view,320,0
900032,56838,17507,2024-05-17 11:05:43,7.1,view,540,0
900033,57860,13704,2024-08-25 12:17:08,13.6,visit,255,1
900034,58900,17752,2024-01-28 08:33:35,0.1,view,463,0
900035,54398,16476,2024-03-21 01:53:29,5.1,click,150,0
900036,57907,17081,2024-12-04 06:07:21,11.4,purchase,390,1
900037,50107,17444,2024-05-18 09:16:00,7.7,view,482,0
900038,50699,18497,2024-05-28 18:32:03,2.4,view,100,0
900039,54329,17412,2024-06-21 14:36:19,3.4,view,300,0
900040,52104,14051,2024-04-09 08:41:12,13.5,view,50,0
900041,54923,11315,2024-05-07 04:35:32,6.8,visit,198,1
900042,53909,19060,2024-09-09 11:09:10,9.7,view,429,0
900043,50343,18736,2024-01-24 21:11:48,16.7,view,475,0
900044,50182,18044,2024-03-03 10:49:43,10.4,purchase,144,1
900045,55678,14260,2024-10-03 06:58:11,4.0,view,305,0
900046,54680,17380,2024-05-24 11:48:12,0.1,click,344,0
900047,57848,18805,2024-08-17 01:55:20,8.2,view,518,0
900048,51925,16185,2024-07-27 09:13:17,0.1,visit,307,1
900049,50257,10994,2024-02-01 16:59:41,5.7,view,303,0
900050,57610,15783,2024-06-30 19:20:10,0.1,view,370,0
900051,56338,11078,2024-12-11 19:54:17,0.1,click,76,0
900052,51294,12832,2024-05-09 09:46:30,7.5,view,367,0
900053,57794,10199,2024-03-19 02:06:50,0.1,purchase,115,1
900054,51133,19048,2024-04-14 09:10:01,8.7,view,139,0
900055,54515,16315,2024-03-18 14:00:56,4.1,visit,120,1
900056,51215,19062,2024-01-25 12:52:09,9.6,visit,453,1
900057,53776,11030,2024-09-17 14:27:37,1.2,view,466,0
900058,58886,16680,2024-07-07 20:36:23,6.7,view,236,0
900059,58223,13515,2024-09-05 09:50:52,7.7,click,57,1
900060,56404,17204,2024-10-02 08:13:27,7.7,purchase,47,1
900061,52994,12812,2024-11-11 11:47:37,2.5,purchase,89,1
900062,57614,16637,2024-05-03 10:35:29,6.3,view,283,0
900063,52722,17462,2024-10-10 07:10:04,2.7,view,508,0
900064,55154,16944,2024-12-31 17:09:23,0.1,click,458,0
900065,56215,15352,2024-07-03 10:56:57,2.6,view,441,0
900066,51944,18572,2024-01-10 14:37:06,0.1,visit,444,1
900067,57299,14925,2024-05-31 19:39:00,14.8,purchase,393,1
900068,54912,15006,2024-01-04 22:14:17,0.1,click,577,0
900069,58746,10005,2024-12-02 19:01:47,6.7,click,389,0
900070,53603,11820,2024-05-11 22:11:36,7.4,view,592,0
900071,59204,12864,2024-06-08 17:24:45,0.4,visit,102,1
900072,58349,17384,2024-10-16 00:12:07,6.3,view,452,0
900073,56130,19199,2024-09-02 02:05:18,6.8,click,71,0
900074,53367,19324,2024-02-01 01:09:32,7.4,view,422,0
900075,50047,13401,2024-09-05 07:20:16,0.1,view,456,0
900076,52107,11015,2024-01-04 22:15:04,3.7,view,569,0
900077,57114,10217,2024-03-06 21:04:13,9.2,view,589,0
900078,58656,12415,2024-10-06 07:02:23,0.1,view,485,0
900079,55699,11637,2024-04-23 19:39:57,7.9,view,372,0
900080,58704,13404,2024-08-24 05:01:44,2.0,view,85,1
900081,51818,11694,2024-12-12 23:31:06,11.7,click,591,0
